continent,country_code,country_name,level1_name,level1_type,level2_name,level2_type,level3_name,level3_type,name,type,parent_name,parent_type,parent_slug,parent_import_key,display_name,slug,import_key,leaf_level,leaf_code,leaf_type,path
Europe,SI,Republic of Slovenia,Ptuj,Urban municipality,,,,,Ptuj,Urban municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Ptuj, Republic of Slovenia, Europe",europe/republic-of-slovenia/ptuj,SI::SI-096::1::ptuj::europe::republic-of-slovenia::ptuj,1,SI-096,Urban municipality,Europe > Republic of Slovenia > Ptuj
Europe,SI,Republic of Slovenia,Puconci,Municipality,,,,,Puconci,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Puconci, Republic of Slovenia, Europe",europe/republic-of-slovenia/puconci,SI::SI-097::1::puconci::europe::republic-of-slovenia::puconci,1,SI-097,Municipality,Europe > Republic of Slovenia > Puconci
Europe,SI,Republic of Slovenia,Rače-Fram,Municipality,,,,,Rače-Fram,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Rače-Fram, Republic of Slovenia, Europe",europe/republic-of-slovenia/race-fram,SI::SI-098::1::race-fram::europe::republic-of-slovenia::race-fram,1,SI-098,Municipality,Europe > Republic of Slovenia > Rače-Fram
Europe,SI,Republic of Slovenia,Radeče,Municipality,,,,,Radeče,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Radeče, Republic of Slovenia, Europe",europe/republic-of-slovenia/radece,SI::SI-099::1::radece::europe::republic-of-slovenia::radece,1,SI-099,Municipality,Europe > Republic of Slovenia > Radeče
Europe,SI,Republic of Slovenia,Radenci,Municipality,,,,,Radenci,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Radenci, Republic of Slovenia, Europe",europe/republic-of-slovenia/radenci,SI::SI-100::1::radenci::europe::republic-of-slovenia::radenci,1,SI-100,Municipality,Europe > Republic of Slovenia > Radenci
Europe,SI,Republic of Slovenia,Radlje ob Dravi,Municipality,,,,,Radlje ob Dravi,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Radlje ob Dravi, Republic of Slovenia, Europe",europe/republic-of-slovenia/radlje-ob-dravi,SI::SI-101::1::radlje-ob-dravi::europe::republic-of-slovenia::radlje-ob-dravi,1,SI-101,Municipality,Europe > Republic of Slovenia > Radlje ob Dravi
Europe,SI,Republic of Slovenia,Radovljica,Municipality,,,,,Radovljica,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Radovljica, Republic of Slovenia, Europe",europe/republic-of-slovenia/radovljica,SI::SI-102::1::radovljica::europe::republic-of-slovenia::radovljica,1,SI-102,Municipality,Europe > Republic of Slovenia > Radovljica
Europe,SI,Republic of Slovenia,Ravne na Koroškem,Municipality,,,,,Ravne na Koroškem,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Ravne na Koroškem, Republic of Slovenia, Europe",europe/republic-of-slovenia/ravne-na-koroskem,SI::SI-103::1::ravne-na-koroskem::europe::republic-of-slovenia::ravne-na-koroskem,1,SI-103,Municipality,Europe > Republic of Slovenia > Ravne na Koroškem
Europe,SI,Republic of Slovenia,Ribnica,Municipality,,,,,Ribnica,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Ribnica, Republic of Slovenia, Europe",europe/republic-of-slovenia/ribnica,SI::SI-104::1::ribnica::europe::republic-of-slovenia::ribnica,1,SI-104,Municipality,Europe > Republic of Slovenia > Ribnica
Europe,SI,Republic of Slovenia,Rogašovci,Municipality,,,,,Rogašovci,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Rogašovci, Republic of Slovenia, Europe",europe/republic-of-slovenia/rogasovci,SI::SI-105::1::rogasovci::europe::republic-of-slovenia::rogasovci,1,SI-105,Municipality,Europe > Republic of Slovenia > Rogašovci
Europe,SI,Republic of Slovenia,Rogaška Slatina,Municipality,,,,,Rogaška Slatina,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Rogaška Slatina, Republic of Slovenia, Europe",europe/republic-of-slovenia/rogaska-slatina,SI::SI-106::1::rogaska-slatina::europe::republic-of-slovenia::rogaska-slatina,1,SI-106,Municipality,Europe > Republic of Slovenia > Rogaška Slatina
Europe,SI,Republic of Slovenia,Rogatec,Municipality,,,,,Rogatec,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Rogatec, Republic of Slovenia, Europe",europe/republic-of-slovenia/rogatec,SI::SI-107::1::rogatec::europe::republic-of-slovenia::rogatec,1,SI-107,Municipality,Europe > Republic of Slovenia > Rogatec
Europe,SI,Republic of Slovenia,Ruše,Municipality,,,,,Ruše,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Ruše, Republic of Slovenia, Europe",europe/republic-of-slovenia/ruse,SI::SI-108::1::ruse::europe::republic-of-slovenia::ruse,1,SI-108,Municipality,Europe > Republic of Slovenia > Ruše
